"VIV_SEL","HOGAR","N_REN","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FACTOR"
5,1,5,1,2,19,4,7,100679,6365
5,1,6,1,1,16,4,7,100679,6365
5,1,7,1,2,14,4,7,100679,6365
5,1,8,1,1,11,4,7,100679,6365
5,1,9,1,1,10,4,7,100679,6365
1,1,1,1,2,56,2,8,100727,6268
1,1,2,1,2,18,2,8,100727,6268
2,1,1,1,1,35,2,8,100727,6268
2,1,2,1,2,25,2,8,100727,6268
2,1,3,1,2,18,2,8,100727,6268
2,1,4,1,2,14,2,8,100727,6268
2,1,5,1,2,4,2,8,100727,6268
2,1,6,1,1,1,2,8,100727,6268
3,1,1,1,2,55,2,8,100727,6268
3,1,2,1,1,31,2,8,100727,6268
3,1,3,1,1,20,2,8,100727,6268
4,1,1,1,1,65,2,8,100727,6268
4,1,2,1,1,33,2,8,100727,6268
4,1,3,1,1,42,2,8,100727,6268
1,1,1,1,1,28,3,9,100779,5984
1,1,2,1,2,29,3,9,100779,5984
1,1,3,1,2,3,3,9,100779,5984
2,1,1,1,1,59,3,9,100779,5984
3,1,1,1,1,42,3,9,100779,5984
3,1,2,1,2,39,3,9,100779,5984
3,1,3,1,1,19,3,9,100779,5984
3,1,4,1,2,14,3,9,100779,5984
3,1,5,1,2,13,3,9,100779,5984
4,1,1,1,1,47,3,9,100779,5984
4,1,2,1,2,46,3,9,100779,5984
4,1,3,1,1,19,3,9,100779,5984
4,1,4,1,1,14,3,9,100779,5984
4,1,5,1,2,11,3,9,100779,5984
5,1,1,1,1,54,3,9,100779,5984
5,1,2,1,2,58,3,9,100779,5984
1,1,1,1,1,46,3,10,100815,5342
1,1,2,1,2,46,3,10,100815,5342
1,1,3,1,2,22,3,10,100815,5342
1,1,4,1,2,19,3,10,100815,5342
1,1,5,1,2,17,3,10,100815,5342
1,1,6,1,1,6,3,10,100815,5342
2,1,1,1,2,72,3,10,100815,5342
2,1,2,1,1,50,3,10,100815,5342
2,1,3,1,2,47,3,10,100815,5342
2,1,4,1,2,45,3,10,100815,5342
2,1,5,1,2,16,3,10,100815,5342
2,1,6,1,1,11,3,10,100815,5342
3,1,1,1,1,30,3,10,100815,5342
3,1,2,1,2,33,3,10,100815,5342
3,1,3,1,2,10,3,10,100815,5342
3,1,4,1,2,1,3,10,100815,5342
5,1,1,1,2,44,3,10,100815,5342
5,1,2,1,1,19,3,10,100815,5342
5,1,3,1,2,7,3,10,100815,5342
2,1,1,1,1,31,3,11,100850,5945
2,1,2,1,2,38,3,11,100850,5945
2,1,3,1,2,7,3,11,100850,5945
2,1,4,1,2,2,3,11,100850,5945
2,1,5,1,2,0,3,11,100850,5945
4,1,1,1,1,30,3,11,100850,5945
4,1,2,1,2,30,3,11,100850,5945
4,1,3,1,1,8,3,11,100850,5945
4,1,4,1,1,5,3,11,100850,5945
5,1,1,1,1,49,3,11,100850,5945
5,1,2,1,2,44,3,11,100850,5945
5,1,3,1,2,17,3,11,100850,5945
5,1,4,1,1,14,3,11,100850,5945
5,1,5,1,1,11,3,11,100850,5945
2,1,1,1,1,55,4,12,100893,6815
2,1,2,1,2,50,4,12,100893,6815
2,1,3,1,2,23,4,12,100893,6815
2,1,4,1,1,18,4,12,100893,6815
3,1,1,1,1,35,4,12,100893,6815
3,1,2,1,2,29,4,12,100893,6815
3,1,3,1,1,4,4,12,100893,6815
3,1,4,1,2,50,4,12,100893,6815
4,1,1,1,1,32,4,12,100893,6815
4,1,2,1,2,45,4,12,100893,6815
5,1,1,1,1,34,4,12,100893,6815
5,1,2,1,2,36,4,12,100893,6815
1,1,1,1,1,48,3,13,100925,5452
1,1,2,1,2,41,3,13,100925,5452
1,1,3,1,1,19,3,13,100925,5452
1,1,4,1,2,16,3,13,100925,5452
1,1,5,1,2,16,3,13,100925,5452
2,1,1,1,1,26,3,13,100925,5452
2,1,2,1,2,26,3,13,100925,5452
3,1,1,1,1,59,3,13,100925,5452
3,1,2,1,2,64,3,13,100925,5452
3,1,3,1,1,38,3,13,100925,5452
3,1,4,1,2,15,3,13,100925,5452
1,1,1,1,2,56,3,14,100942,5274
1,1,2,1,2,90,3,14,100942,5274
1,1,3,1,1,33,3,14,100942,5274
1,1,4,1,1,38,3,14,100942,5274
3,1,1,1,1,41,3,14,100942,5274
3,1,2,1,2,40,3,14,100942,5274
3,1,3,1,2,15,3,14,100942,5274
3,1,4,1,2,12,3,14,100942,5274
3,1,5,1,2,7,3,14,100942,5274
4,1,1,1,1,33,3,14,100942,5274
4,1,2,1,2,28,3,14,100942,5274
4,1,3,1,1,6,3,14,100942,5274
4,1,4,1,1,4,3,14,100942,5274
5,1,1,1,2,48,3,14,100942,5274
5,1,2,1,1,23,3,14,100942,5274
5,1,3,1,2,25,3,14,100942,5274
5,1,4,1,1,1,3,14,100942,5274
5,1,5,1,1,0,3,14,100942,5274
1,1,1,1,1,24,3,15,101071,4794
1,1,2,1,2,26,3,15,101071,4794
2,1,1,1,2,42,3,15,101071,4794
2,1,2,1,2,21,3,15,101071,4794
2,1,3,1,2,19,3,15,101071,4794
2,1,4,1,2,12,3,15,101071,4794
2,1,5,1,2,10,3,15,101071,4794
3,1,1,1,1,53,3,15,101071,4794
3,1,2,1,2,48,3,15,101071,4794
3,1,3,1,2,25,3,15,101071,4794
3,1,4,1,2,23,3,15,101071,4794
3,1,5,1,1,21,3,15,101071,4794
3,1,6,1,1,20,3,15,101071,4794
3,1,7,1,1,33,3,15,101071,4794
3,1,8,1,1,22,3,15,101071,4794
3,1,9,1,2,7,3,15,101071,4794
3,1,10,1,1,1,3,15,101071,4794
3,1,11,1,1,1,3,15,101071,4794
3,1,12,1,1,0,3,15,101071,4794
5,1,1,1,1,61,3,15,101071,4794
5,1,2,1,2,62,3,15,101071,4794
1,1,1,1,1,70,3,16,101187,6096
1,1,2,1,2,44,3,16,101187,6096
2,1,1,1,1,36,3,16,101187,6096
2,1,2,1,2,36,3,16,101187,6096
2,1,3,1,2,15,3,16,101187,6096
3,1,1,1,1,27,3,16,101187,6096
3,1,2,1,2,28,3,16,101187,6096
3,1,3,1,1,14,3,16,101187,6096
3,1,4,1,2,13,3,16,101187,6096
3,1,5,1,1,7,3,16,101187,6096
3,1,6,1,2,4,3,16,101187,6096
4,1,1,1,1,27,3,16,101187,6096
4,1,2,1,2,31,3,16,101187,6096
5,1,1,1,1,41,3,16,101187,6096
5,1,2,1,2,33,3,16,101187,6096
5,1,3,1,2,12,3,16,101187,6096
5,1,4,1,2,8,3,16,101187,6096
1,1,1,1,1,54,4,17,101302,5684
1,1,2,1,2,48,4,17,101302,5684
1,1,3,1,1,9,4,17,101302,5684
2,1,1,1,1,51,4,17,101302,5684
2,1,2,1,2,48,4,17,101302,5684
2,1,3,1,2,24,4,17,101302,5684
3,1,1,1,1,39,4,17,101302,5684
3,1,2,1,2,35,4,17,101302,5684
3,1,3,1,1,10,4,17,101302,5684
3,1,4,1,2,7,4,17,101302,5684
4,1,1,1,1,57,4,17,101302,5684
5,1,1,1,2,52,4,17,101302,5684
5,1,2,1,2,32,4,17,101302,5684
5,1,3,1,2,30,4,17,101302,5684
5,1,4,1,1,11,4,17,101302,5684
5,1,5,1,1,8,4,17,101302,5684
2,1,1,1,2,44,2,18,101499,5213
2,1,2,1,1,42,2,18,101499,5213
2,1,3,1,1,28,2,18,101499,5213
2,1,4,1,1,26,2,18,101499,5213
2,1,5,1,2,20,2,18,101499,5213
2,1,6,1,2,15,2,18,101499,5213
2,1,7,1,2,13,2,18,101499,5213
2,1,8,1,2,12,2,18,101499,5213
3,1,1,1,2,69,2,18,101499,5213
3,1,2,1,1,26,2,18,101499,5213
3,1,3,1,2,16,2,18,101499,5213
4,1,1,1,1,27,2,18,101499,5213
4,1,2,1,2,28,2,18,101499,5213
4,1,3,1,2,1,2,18,101499,5213
4,1,4,1,2,0,2,18,101499,5213
5,1,1,1,1,40,2,18,101499,5213
5,1,2,1,2,43,2,18,101499,5213
5,1,3,1,2,15,2,18,101499,5213
5,1,4,1,2,18,2,18,101499,5213
1,1,1,1,2,45,2,19,101598,6541
1,1,2,1,1,26,2,19,101598,6541
1,1,3,1,2,21,2,19,101598,6541
1,1,4,1,2,17,2,19,101598,6541
1,1,5,1,1,9,2,19,101598,6541
1,1,6,1,2,2,2,19,101598,6541
1,1,7,1,2,0,2,19,101598,6541
2,1,1,1,1,46,2,19,101598,6541
2,1,2,1,1,21,2,19,101598,6541
2,1,3,1,2,43,2,19,101598,6541
2,1,4,1,2,17,2,19,101598,6541
2,1,5,1,2,8,2,19,101598,6541
2,1,6,1,1,71,2,19,101598,6541
3,1,1,1,1,53,2,19,101598,6541
3,1,2,1,2,48,2,19,101598,6541
3,1,3,1,1,26,2,19,101598,6541
3,1,4,1,2,25,2,19,101598,6541
3,1,5,1,2,3,2,19,101598,6541
3,1,6,1,2,0,2,19,101598,6541
5,1,1,1,1,24,2,19,101598,6541
5,1,2,1,2,28,2,19,101598,6541
5,1,3,1,2,69,2,19,101598,6541
5,1,4,1,1,6,2,19,101598,6541
5,1,5,1,1,3,2,19,101598,6541
5,1,6,1,2,0,2,19,101598,6541
1,1,1,1,2,43,3,20,101627,4767
1,1,2,1,2,22,3,20,101627,4767
1,1,3,1,2,20,3,20,101627,4767
1,1,4,1,1,25,3,20,101627,4767
1,1,5,1,1,3,3,20,101627,4767
2,1,1,1,1,24,3,20,101627,4767
2,1,2,1,2,22,3,20,101627,4767
2,1,3,1,2,6,3,20,101627,4767
2,1,4,1,1,1,3,20,101627,4767
3,1,1,1,1,85,3,20,101627,4767
3,1,2,1,2,75,3,20,101627,4767
3,1,3,1,2,35,3,20,101627,4767
3,1,4,1,2,11,3,20,101627,4767
4,1,1,1,2,50,3,20,101627,4767
4,1,2,1,2,21,3,20,101627,4767
4,1,3,1,1,3,3,20,101627,4767
1,1,1,1,1,26,4,21,101727,6940
1,1,2,1,2,27,4,21,101727,6940
1,1,3,1,1,5,4,21,101727,6940
1,1,4,1,1,4,4,21,101727,6940
2,1,1,1,1,37,4,21,101727,6940
2,1,2,1,2,37,4,21,101727,6940
2,1,3,1,1,4,4,21,101727,6940
2,1,4,1,1,3,4,21,101727,6940
2,1,5,1,1,0,4,21,101727,6940
3,1,1,1,1,69,4,21,101727,6940
3,1,2,1,2,65,4,21,101727,6940
4,1,1,1,1,34,4,21,101727,6940
4,1,2,1,2,32,4,21,101727,6940
4,1,3,1,1,8,4,21,101727,6940
4,1,4,1,2,7,4,21,101727,6940
4,1,5,1,1,2,4,21,101727,6940
5,1,1,1,1,26,4,21,101727,6940
5,1,2,1,2,20,4,21,101727,6940
1,1,1,1,1,33,2,22,101842,6032
1,1,2,1,2,33,2,22,101842,6032
1,1,3,1,1,13,2,22,101842,6032
1,1,4,1,2,12,2,22,101842,6032
1,1,5,1,2,8,2,22,101842,6032
1,1,6,1,1,6,2,22,101842,6032
2,1,1,1,2,39,2,22,101842,6032
2,1,2,1,1,14,2,22,101842,6032
3,1,1,1,2,23,2,22,101842,6032
3,1,2,1,1,8,2,22,101842,6032
3,1,3,1,1,6,2,22,101842,6032
3,1,4,1,2,4,2,22,101842,6032
4,1,1,1,2,65,2,22,101842,6032
4,1,2,1,2,34,2,22,101842,6032
4,1,3,1,1,16,2,22,101842,6032
4,1,4,1,1,6,2,22,101842,6032
5,1,1,1,1,41,2,22,101842,6032
5,1,2,1,2,37,2,22,101842,6032
5,1,3,1,1,17,2,22,101842,6032
5,1,4,1,2,16,2,22,101842,6032
5,1,5,1,2,11,2,22,101842,6032
5,1,6,1,2,8,2,22,101842,6032
5,1,7,1,2,8,2,22,101842,6032
2,1,1,1,1,37,4,23,101901,6259
2,1,2,1,2,40,4,23,101901,6259
2,1,3,1,1,17,4,23,101901,6259
2,1,4,1,1,11,4,23,101901,6259
2,1,5,1,1,10,4,23,101901,6259
2,1,6,1,1,3,4,23,101901,6259
4,1,1,1,1,32,4,23,101901,6259
4,1,2,1,2,28,4,23,101901,6259
4,1,3,1,1,8,4,23,101901,6259
4,1,4,1,1,7,4,23,101901,6259
4,1,5,1,1,5,4,23,101901,6259
5,1,1,1,1,31,4,23,101901,6259
5,1,2,1,2,30,4,23,101901,6259
5,1,3,1,1,9,4,23,101901,6259
5,1,4,1,2,5,4,23,101901,6259
1,1,1,1,1,46,2,24,101908,11183
1,1,2,1,2,45,2,24,101908,11183
1,1,3,1,2,2,2,24,101908,11183
1,1,4,1,2,24,2,24,101908,11183
2,1,1,1,1,27,2,24,101908,11183
2,1,2,1,2,30,2,24,101908,11183
2,1,3,1,1,7,2,24,101908,11183
2,1,4,1,1,5,2,24,101908,11183
2,1,5,1,1,3,2,24,101908,11183
2,2,1,1,1,26,2,24,101908,11183
2,2,2,1,2,30,2,24,101908,11183
2,2,3,1,1,4,2,24,101908,11183
2,2,4,1,1,3,2,24,101908,11183
2,2,5,1,2,0,2,24,101908,11183
3,1,1,1,2,58,2,24,101908,11183
3,1,2,1,2,17,2,24,101908,11183
5,1,1,1,1,23,2,24,101908,11183
5,1,2,1,2,21,2,24,101908,11183
5,1,3,1,1,2,2,24,101908,11183
5,1,4,1,1,0,2,24,101908,11183
1,1,1,2,1,50,5,25,102125,5123
1,1,2,2,2,49,5,25,102125,5123
1,1,3,2,2,20,5,25,102125,5123
1,1,4,2,1,15,5,25,102125,5123
2,1,1,2,1,46,5,25,102125,5123
2,1,2,2,2,45,5,25,102125,5123
2,1,3,2,1,22,5,25,102125,5123
2,1,4,2,2,16,5,25,102125,5123
2,1,5,2,2,12,5,25,102125,5123
2,1,6,2,1,9,5,25,102125,5123
2,1,7,2,2,2,5,25,102125,5123
3,1,1,2,1,60,5,25,102125,5123
3,1,2,2,2,65,5,25,102125,5123
5,1,1,2,2,73,5,25,102125,5123
5,1,2,2,2,48,5,25,102125,5123
5,1,3,2,2,39,5,25,102125,5123
5,1,4,2,2,28,5,25,102125,5123
6,1,1,2,2,60,5,25,102125,5123
6,1,2,2,2,22,5,25,102125,5123
6,1,3,2,2,18,5,25,102125,5123
7,1,1,2,1,47,5,25,102125,5123
7,1,2,2,2,45,5,25,102125,5123
7,1,3,2,2,23,5,25,102125,5123
7,1,4,2,1,16,5,25,102125,5123
7,1,5,2,1,10,5,25,102125,5123
8,1,1,2,2,15,5,25,102125,5123
8,1,2,2,2,35,5,25,102125,5123
8,2,1,2,1,41,5,25,102125,5123
9,1,1,2,1,44,5,25,102125,5123
9,1,2,2,2,43,5,25,102125,5123
9,1,3,2,1,22,5,25,102125,5123
9,1,4,2,2,16,5,25,102125,5123
9,1,5,2,1,11,5,25,102125,5123
10,1,1,2,2,35,5,25,102125,5123
10,1,2,2,1,10,5,25,102125,5123
10,1,3,2,2,5,5,25,102125,5123
10,1,4,2,2,62,5,25,102125,5123
11,1,1,2,1,49,5,25,102125,5123
11,1,2,2,2,43,5,25,102125,5123
11,1,3,2,1,14,5,25,102125,5123
11,1,4,2,2,8,5,25,102125,5123
11,1,5,2,2,6,5,25,102125,5123
12,1,1,2,1,55,5,25,102125,5123
12,1,2,2,2,51,5,25,102125,5123
12,1,3,2,2,27,5,25,102125,5123
12,1,4,2,1,23,5,25,102125,5123
12,1,5,2,1,22,5,25,102125,5123
12,1,6,2,2,21,5,25,102125,5123
12,1,7,2,2,19,5,25,102125,5123
12,1,8,2,1,1,5,25,102125,5123
13,1,1,2,1,48,5,25,102125,5123
13,1,2,2,2,43,5,25,102125,5123
13,1,3,2,1,19,5,25,102125,5123
13,1,4,2,1,13,5,25,102125,5123
13,1,5,2,2,4,5,25,102125,5123
15,1,1,2,1,62,5,25,102125,5123
15,1,2,2,2,47,5,25,102125,5123
15,1,3,2,1,23,5,25,102125,5123
16,1,1,2,1,33,5,25,102125,5123
16,1,2,2,2,28,5,25,102125,5123
16,1,3,2,2,7,5,25,102125,5123
16,1,4,2,1,2,5,25,102125,5123
17,1,1,2,1,51,5,25,102125,5123
17,1,2,2,2,53,5,25,102125,5123
17,1,3,2,1,33,5,25,102125,5123
17,1,4,2,1,31,5,25,102125,5123
17,1,5,2,2,29,5,25,102125,5123
17,1,6,2,1,25,5,25,102125,5123
17,1,7,2,2,23,5,25,102125,5123
17,1,8,2,2,21,5,25,102125,5123
17,1,9,2,2,19,5,25,102125,5123
17,1,10,2,2,90,5,25,102125,5123
18,1,1,2,1,39,5,25,102125,5123
18,1,2,2,2,42,5,25,102125,5123
18,1,3,2,1,21,5,25,102125,5123
18,1,4,2,2,17,5,25,102125,5123
18,1,5,2,1,7,5,25,102125,5123
18,1,6,2,1,7,5,25,102125,5123
20,1,1,2,2,43,5,25,102125,5123
20,1,2,2,2,12,5,25,102125,5123
20,1,3,2,2,7,5,25,102125,5123
1,1,2,3,2,50,9,26,102355,4221
1,1,3,3,2,18,9,26,102355,4221
1,1,4,3,1,8,9,26,102355,4221
2,1,1,3,2,89,9,26,102355,4221
2,1,2,3,1,43,9,26,102355,4221
2,1,3,3,2,36,9,26,102355,4221
2,1,4,3,1,11,9,26,102355,4221
2,1,5,3,2,8,9,26,102355,4221
2,1,6,3,1,8,9,26,102355,4221
3,1,1,3,1,64,9,26,102355,4221
3,1,2,3,2,54,9,26,102355,4221
3,1,3,3,1,21,9,26,102355,4221
3,1,4,3,2,5,9,26,102355,4221
4,1,1,3,1,34,9,26,102355,4221
4,1,2,3,2,35,9,26,102355,4221
4,1,3,3,1,13,9,26,102355,4221
4,1,4,3,1,8,9,26,102355,4221
4,1,5,3,1,1,9,26,102355,4221
5,1,1,3,1,53,9,26,102355,4221
5,1,2,3,2,44,9,26,102355,4221
5,1,3,3,2,21,9,26,102355,4221
5,1,4,3,1,13,9,26,102355,4221
7,1,1,3,1,42,9,26,102355,4221
7,1,2,3,2,40,9,26,102355,4221
7,1,3,3,2,22,9,26,102355,4221
7,1,4,3,1,20,9,26,102355,4221
7,1,5,3,1,19,9,26,102355,4221
7,1,6,3,2,9,9,26,102355,4221
8,1,1,3,2,41,9,26,102355,4221
8,1,2,3,2,23,9,26,102355,4221
8,1,3,3,2,23,9,26,102355,4221
8,1,4,3,1,15,9,26,102355,4221
8,1,5,3,1,9,9,26,102355,4221
8,1,6,3,2,4,9,26,102355,4221
9,1,1,3,1,50,9,26,102355,4221
9,1,2,3,2,50,9,26,102355,4221
9,1,3,3,2,58,9,26,102355,4221
9,1,4,3,1,23,9,26,102355,4221
9,1,5,3,2,20,9,26,102355,4221
10,1,1,3,1,30,9,26,102355,4221
10,1,2,3,2,30,9,26,102355,4221
10,1,3,3,1,16,9,26,102355,4221
10,1,4,3,2,14,9,26,102355,4221
10,1,5,3,2,11,9,26,102355,4221
11,1,1,3,1,22,9,26,102355,4221
11,1,2,3,2,19,9,26,102355,4221
11,1,3,3,2,3,9,26,102355,4221
12,1,1,3,1,70,9,26,102355,4221
12,1,2,3,2,61,9,26,102355,4221
12,1,3,3,2,20,9,26,102355,4221
12,1,4,3,1,26,9,26,102355,4221
12,1,5,3,2,26,9,26,102355,4221
13,1,1,3,2,62,9,26,102355,4221
14,1,1,3,1,52,9,26,102355,4221
14,1,2,3,2,51,9,26,102355,4221
14,1,3,3,2,25,9,26,102355,4221
15,1,1,3,1,71,9,26,102355,4221
15,1,2,3,2,69,9,26,102355,4221
15,1,3,3,2,35,9,26,102355,4221
15,1,4,3,2,27,9,26,102355,4221
16,1,1,3,1,40,9,26,102355,4221
16,1,2,3,2,41,9,26,102355,4221
16,1,3,3,2,79,9,26,102355,4221
16,1,4,3,1,18,9,26,102355,4221
16,1,5,3,2,13,9,26,102355,4221
16,1,6,3,2,3,9,26,102355,4221
17,1,1,3,1,53,9,26,102355,4221
17,1,2,3,2,47,9,26,102355,4221
17,1,3,3,2,24,9,26,102355,4221
17,1,4,3,2,20,9,26,102355,4221
17,1,5,3,2,14,9,26,102355,4221
17,1,6,3,1,6,9,26,102355,4221
17,1,7,3,1,1,9,26,102355,4221
18,1,1,3,1,46,9,26,102355,4221
18,1,2,3,1,10,9,26,102355,4221
18,1,3,3,2,9,9,26,102355,4221
19,1,1,3,1,27,9,26,102355,4221
19,1,2,3,2,24,9,26,102355,4221
19,1,3,3,2,5,9,26,102355,4221
20,1,1,3,1,25,9,26,102355,4221
20,1,2,3,2,24,9,26,102355,4221
20,1,3,3,1,7,9,26,102355,4221
20,1,4,3,2,2,9,26,102355,4221
1,1,1,4,1,44,12,27,160050,4195
1,1,2,4,2,29,12,27,160050,4195
1,1,3,4,2,9,12,27,160050,4195
1,1,4,4,2,3,12,27,160050,4195
2,1,1,4,1,54,12,27,160050,4195
2,1,2,4,1,46,12,27,160050,4195
2,1,3,4,2,44,12,27,160050,4195
2,1,4,4,1,9,12,27,160050,4195
2,1,5,4,2,7,12,27,160050,4195
3,1,1,4,1,87,12,27,160050,4195
3,1,2,4,2,86,12,27,160050,4195
3,1,3,4,2,58,12,27,160050,4195
4,1,1,4,1,40,12,27,160050,4195
4,1,2,4,1,54,12,27,160050,4195
5,1,1,4,2,59,12,27,160050,4195
6,1,1,4,1,56,12,27,160050,4195
6,1,2,4,2,55,12,27,160050,4195
6,1,3,4,1,28,12,27,160050,4195
6,1,4,4,1,24,12,27,160050,4195
7,1,1,4,1,35,12,27,160050,4195
7,1,2,4,2,31,12,27,160050,4195
7,1,3,4,1,8,12,27,160050,4195
7,1,4,4,2,6,12,27,160050,4195
8,1,1,4,1,27,12,27,160050,4195
8,1,2,4,2,22,12,27,160050,4195
8,1,3,4,1,5,12,27,160050,4195
9,1,1,4,1,68,12,27,160050,4195
9,1,2,4,2,62,12,27,160050,4195
9,1,3,4,2,34,12,27,160050,4195
9,1,4,4,1,22,12,27,160050,4195
9,1,5,4,2,9,12,27,160050,4195
10,1,1,4,1,82,12,27,160050,4195
10,1,2,4,2,72,12,27,160050,4195
10,1,3,4,2,39,12,27,160050,4195
11,1,1,4,1,87,12,27,160050,4195
11,1,2,4,1,51,12,27,160050,4195
11,1,3,4,2,20,12,27,160050,4195
11,1,4,4,2,4,12,27,160050,4195
12,1,1,4,1,34,12,27,160050,4195
12,1,2,4,2,29,12,27,160050,4195
12,1,3,4,1,2,12,27,160050,4195
13,1,1,4,1,52,12,27,160050,4195
13,1,2,4,2,48,12,27,160050,4195
13,1,3,4,1,27,12,27,160050,4195
13,1,4,4,2,26,12,27,160050,4195
13,1,5,4,1,23,12,27,160050,4195
13,1,6,4,2,19,12,27,160050,4195
13,1,7,4,2,14,12,27,160050,4195
13,1,8,4,1,23,12,27,160050,4195
13,1,9,4,2,16,12,27,160050,4195
14,1,1,4,1,54,12,27,160050,4195
14,1,2,4,2,55,12,27,160050,4195
14,1,3,4,1,28,12,27,160050,4195
14,1,4,4,1,30,12,27,160050,4195
14,1,5,4,2,25,12,27,160050,4195
14,1,6,4,1,24,12,27,160050,4195
14,1,7,4,1,22,12,27,160050,4195
14,1,8,4,2,6,12,27,160050,4195
14,1,9,4,2,0,12,27,160050,4195
15,1,1,4,1,45,12,27,160050,4195
15,1,2,4,2,42,12,27,160050,4195
15,1,3,4,1,20,12,27,160050,4195
15,1,4,4,2,19,12,27,160050,4195
16,1,1,4,1,35,12,27,160050,4195
16,1,2,4,2,35,12,27,160050,4195
16,1,3,4,2,14,12,27,160050,4195
16,1,4,4,1,10,12,27,160050,4195
17,1,1,4,1,40,12,27,160050,4195
17,1,2,4,2,40,12,27,160050,4195
17,1,3,4,2,5,12,27,160050,4195
17,1,4,4,2,3,12,27,160050,4195
17,1,5,4,2,1,12,27,160050,4195
