UPM,VIV_SEL,P1_1,P1_2,TLOC,EST_DIS,UPM_DIS,FACTOR
102355,1,3,1,3,9,26,4221
102355,2,6,1,3,9,26,4221
102355,3,4,1,3,9,26,4221
102355,4,5,1,3,9,26,4221
102355,5,4,1,3,9,26,4221
102355,7,6,1,3,9,26,4221
102355,8,6,1,3,9,26,4221
102355,9,5,1,3,9,26,4221
102355,10,5,1,3,9,26,4221
102355,11,3,1,3,9,26,4221
102355,12,5,1,3,9,26,4221
102355,13,1,1,3,9,26,4221
102355,14,3,1,3,9,26,4221
102355,15,4,1,3,9,26,4221
102355,16,6,1,3,9,26,4221
102355,17,7,1,3,9,26,4221
102355,18,3,1,3,9,26,4221
102355,19,3,1,3,9,26,4221
102355,20,4,1,3,9,26,4221
160050,1,4,1,4,12,27,4195
160050,2,5,1,4,12,27,4195
160050,3,3,1,4,12,27,4195
160050,4,2,1,4,12,27,4195
160050,5,1,1,4,12,27,4195
160050,6,4,1,4,12,27,4195
160050,7,4,1,4,12,27,4195
160050,8,3,1,4,12,27,4195
160050,9,5,1,4,12,27,4195
160050,10,3,1,4,12,27,4195
160050,11,4,1,4,12,27,4195
160050,12,3,1,4,12,27,4195
160050,13,9,1,4,12,27,4195
160050,14,9,1,4,12,27,4195
160050,15,4,1,4,12,27,4195
160050,16,4,1,4,12,27,4195
160050,17,5,1,4,12,27,4195
160050,18,6,1,4,12,27,4195
160050,19,5,1,4,12,27,4195
160050,20,4,1,4,12,27,4195
160084,1,5,1,4,12,28,4994
160084,2,4,1,4,12,28,4994
160084,4,5,1,4,12,28,4994
160084,5,5,1,4,12,28,4994
160084,7,4,1,4,12,28,4994
160084,8,5,1,4,12,28,4994
160084,9,2,1,4,12,28,4994
160084,10,3,1,4,12,28,4994
160084,11,10,1,4,12,28,4994
160084,12,4,1,4,12,28,4994
160084,13,5,1,4,12,28,4994
160084,14,2,1,4,12,28,4994
160084,15,5,1,4,12,28,4994
160084,16,2,1,4,12,28,4994
160084,17,4,1,4,12,28,4994
160084,20,4,1,4,12,28,4994
200070,1,4,1,1,3,29,5803
200070,2,3,1,1,3,29,5803
200070,3,2,1,1,3,29,5803
200070,4,2,1,1,3,29,5803
200070,5,2,1,1,3,29,5803
200637,2,7,1,1,3,30,6762
200637,3,4,1,1,3,30,6762
200637,4,6,1,1,3,30,6762
200706,1,5,1,1,3,31,5772
200706,2,5,1,1,3,31,5772
200706,3,5,1,1,3,31,5772
200706,4,5,1,1,3,31,5772
200706,5,2,1,1,3,31,5772
201002,1,3,1,1,3,32,5288
201002,2,3,1,1,3,32,5288
201002,3,4,1,1,3,32,5288
201002,4,2,1,1,3,32,5288
201002,5,5,1,1,3,32,5288
201008,1,1,1,1,3,33,4766
201008,2,2,1,1,3,33,4766
201008,3,3,1,1,3,33,4766
201008,4,3,1,1,3,33,4766
201008,5,8,1,1,3,33,4766
201077,1,1,1,1,3,34,4877
201077,2,5,1,1,3,34,4877
201077,3,5,1,1,3,34,4877
201077,4,4,1,1,3,34,4877
201077,5,1,1,1,3,34,4877
202089,1,3,1,1,2,35,6507
202089,3,2,1,1,2,35,6507
202089,4,3,1,1,2,35,6507
202089,5,4,1,1,2,35,6507
202460,1,4,1,1,4,36,6885
202460,2,5,1,1,4,36,6885
202460,3,4,1,1,4,36,6885
202460,4,4,1,1,4,36,6885
202460,5,3,1,1,4,36,6885
202909,2,4,1,1,2,37,4001
202909,3,6,1,1,2,37,4001
202909,4,4,1,1,2,37,4001
203131,1,3,1,1,4,38,6557
203131,2,1,1,1,4,38,6557
203131,3,3,1,1,4,38,6557
203131,4,2,1,1,4,38,6557
203131,5,2,1,1,4,38,6557
203154,3,3,1,1,2,39,5188
203154,5,3,1,1,2,39,5188
203193,2,6,1,1,2,40,6164
203193,3,3,1,1,2,40,6164
203193,5,3,1,1,2,40,6164
203283,1,3,1,1,4,41,5814
203283,2,2,1,1,4,41,5814
203283,3,4,1,1,4,41,5814
203283,4,4,1,1,4,41,5814
203283,5,8,1,1,4,41,5814
203297,1,2,1,1,3,42,5111
203297,4,7,1,1,3,42,5111
203312,3,4,1,1,2,43,4883
203312,4,4,1,1,2,43,4883
203312,5,4,1,1,2,43,4883
203510,1,4,1,1,4,44,6720
203510,4,4,1,1,4,44,6720
203510,5,6,1,1,4,44,6720
203547,2,5,1,1,3,45,6018
203547,3,4,1,1,3,45,6018
203914,4,1,1,1,2,46,5943
203914,5,5,1,1,2,46,5943
204049,1,3,1,1,3,47,5636
204049,2,5,1,1,3,47,5636
204049,3,4,1,1,3,47,5636
204049,4,3,1,1,3,47,5636
204699,1,1,1,1,4,48,6105
204699,3,6,1,1,4,48,6105
204699,4,3,1,1,4,48,6105
204699,5,4,1,1,4,48,6105
204728,1,1,1,1,3,49,4973
204728,2,2,1,1,3,49,4973
204728,4,1,1,1,3,49,4973
204728,5,5,1,1,3,49,4973
205355,1,3,1,1,3,50,6096
205355,2,6,1,1,3,50,6096
205355,3,8,1,1,3,50,6096
205355,4,2,1,1,3,50,6096
205355,5,4,1,1,3,50,6096
205402,1,3,1,1,3,51,6420
205402,2,5,1,1,3,51,6420
205402,4,1,1,1,3,51,6420
205402,5,3,1,1,3,51,6420
205480,1,6,1,1,2,52,6100
205480,2,4,1,1,2,52,6100
205480,3,3,1,1,2,52,6100
205480,4,5,1,1,2,52,6100
205480,5,1,1,1,2,52,6100
205584,1,4,1,1,2,53,5767
205584,2,4,1,1,2,53,5767
205584,4,4,1,1,2,53,5767
205584,5,4,1,1,2,53,5767
205779,1,7,1,1,3,54,4877
205779,2,3,1,1,3,54,4877
205779,3,4,1,1,3,54,4877
205779,4,4,1,1,3,54,4877
205779,5,4,1,1,3,54,4877
205992,1,7,1,1,2,55,6232
205992,2,8,1,1,2,55,6232
205992,3,3,1,1,2,55,6232
205992,4,4,1,1,2,55,6232
205992,5,1,1,1,2,55,6232
206343,1,5,1,1,3,56,6396
206343,2,4,1,1,3,56,6396
206343,3,5,1,1,3,56,6396
206343,4,7,1,1,3,56,6396
206343,5,2,1,1,3,56,6396
206620,2,1,1,1,2,57,6621
206620,3,1,1,1,2,57,6621
206620,4,4,1,1,2,57,6621
206620,5,5,1,1,2,57,6621
206862,1,3,1,1,4,58,4533
206862,2,3,1,1,4,58,4533
206862,3,2,1,1,4,58,4533
206862,4,2,1,1,4,58,4533
206862,5,3,1,1,4,58,4533
207549,1,6,1,2,5,59,4512
207549,3,1,1,2,5,59,4512
207549,4,7,2,2,5,59,4512
207549,5,1,1,2,5,59,4512
207549,6,5,1,2,5,59,4512
207549,7,1,1,2,5,59,4512
207549,9,4,1,2,5,59,4512
207549,10,1,1,2,5,59,4512
207549,11,5,1,2,5,59,4512
207549,12,5,1,2,5,59,4512
207549,13,1,1,2,5,59,4512
207549,14,5,2,2,5,59,4512
207549,15,4,1,2,5,59,4512
207549,16,2,1,2,5,59,4512
207549,17,3,2,2,5,59,4512
207549,18,5,1,2,5,59,4512
207549,19,3,1,2,5,59,4512
207549,20,3,1,2,5,59,4512
207920,1,5,1,3,9,60,4179
207920,3,4,1,3,9,60,4179
207920,4,2,1,3,9,60,4179
207920,5,3,1,3,9,60,4179
207920,6,5,1,3,9,60,4179
207920,7,2,1,3,9,60,4179
207920,8,5,1,3,9,60,4179
207920,10,2,1,3,9,60,4179
207920,11,7,1,3,9,60,4179
207920,12,2,1,3,9,60,4179
207920,13,1,1,3,9,60,4179
207920,14,6,2,3,9,60,4179
207920,15,1,1,3,9,60,4179
207920,16,6,1,3,9,60,4179
207920,17,1,1,3,9,60,4179
207920,18,3,1,3,9,60,4179
207920,19,3,1,3,9,60,4179
207920,20,6,1,3,9,60,4179
208213,1,4,1,1,2,61,5235
208213,2,1,1,1,2,61,5235
208213,3,3,1,1,2,61,5235
208213,4,1,1,1,2,61,5235
208213,5,4,1,1,2,61,5235
260003,1,4,1,4,11,62,4545
260003,2,1,1,4,11,62,4545
260003,3,5,1,4,11,62,4545
260003,4,3,1,4,11,62,4545
260003,5,5,1,4,11,62,4545
260003,6,2,1,4,11,62,4545
260003,7,4,1,4,11,62,4545
260003,8,5,1,4,11,62,4545
260003,9,4,1,4,11,62,4545
260003,10,3,1,4,11,62,4545
260003,11,4,1,4,11,62,4545
260003,12,3,1,4,11,62,4545
260003,13,6,1,4,11,62,4545
260003,14,3,1,4,11,62,4545
260003,15,3,1,4,11,62,4545
260003,16,3,1,4,11,62,4545
260003,17,6,1,4,11,62,4545
260003,18,14,1,4,11,62,4545
260003,19,4,1,4,11,62,4545
260003,20,4,1,4,11,62,4545
260230,2,5,1,4,12,63,4611
260230,3,2,1,4,12,63,4611
260230,4,3,1,4,12,63,4611
260230,5,5,1,4,12,63,4611
260230,6,4,1,4,12,63,4611
260230,8,1,1,4,12,63,4611
260230,9,5,1,4,12,63,4611
260230,10,5,1,4,12,63,4611
260230,11,4,1,4,12,63,4611
260230,12,5,1,4,12,63,4611
260230,14,4,1,4,12,63,4611
260230,16,3,1,4,12,63,4611
260230,18,7,1,4,12,63,4611
260230,19,3,1,4,12,63,4611
260230,20,3,1,4,12,63,4611
300046,1,2,1,1,3,64,5518
300046,2,3,1,1,3,64,5518
300046,3,3,1,1,3,64,5518
300046,4,3,1,1,3,64,5518
300099,2,4,1,1,3,65,5622
300099,3,8,2,1,3,65,5622
300099,4,6,1,1,3,65,5622
300099,5,6,1,1,3,65,5622
300143,1,4,1,1,4,66,6212
300143,3,11,1,1,4,66,6212
300143,4,1,1,1,4,66,6212
300191,1,2,1,1,4,67,6413
300191,2,4,1,1,4,67,6413
300191,3,4,1,1,4,67,6413
300191,5,5,1,1,4,67,6413
300252,1,3,1,1,3,68,5785
300252,2,1,1,1,3,68,5785
300252,3,4,1,1,3,68,5785
300252,4,2,1,1,3,68,5785
300252,5,3,1,1,3,68,5785
300357,1,6,1,1,3,69,5957
300357,2,6,2,1,3,69,5957
300357,3,2,1,1,3,69,5957
300357,5,6,1,1,3,69,5957
300372,2,2,1,1,3,70,5686
300372,3,5,1,1,3,70,5686
300372,4,4,1,1,3,70,5686
300372,5,2,1,1,3,70,5686
300375,1,2,1,1,2,71,6689
300375,2,4,1,1,2,71,6689
300375,4,5,1,1,2,71,6689
300375,5,3,1,1,2,71,6689
300424,2,5,1,1,3,72,6414
300424,3,7,1,1,3,72,6414
300424,4,6,1,1,3,72,6414
300549,1,3,1,1,4,73,6173
300549,2,2,1,1,4,73,6173
300549,3,5,1,1,4,73,6173
300549,4,6,1,1,4,73,6173
300551,1,5,1,1,2,74,5687
300551,2,4,1,1,2,74,5687
300551,3,2,1,1,2,74,5687
300551,4,4,1,1,2,74,5687
300551,5,7,1,1,2,74,5687
300604,2,5,1,1,4,75,6825
300604,3,4,1,1,4,75,6825
300604,4,4,1,1,4,75,6825
300604,5,6,1,1,4,75,6825
300734,1,5,1,2,6,76,8942
300734,3,3,1,2,6,76,8942
300734,5,3,1,2,6,76,8942
300734,6,2,1,2,6,76,8942
300734,7,3,1,2,6,76,8942
300734,8,2,1,2,6,76,8942
300734,9,3,1,2,6,76,8942
300734,10,3,1,2,6,76,8942
300734,11,4,1,2,6,76,8942
300734,12,4,1,2,6,76,8942
300734,13,3,1,2,6,76,8942
300734,14,2,1,2,6,76,8942
300734,15,3,1,2,6,76,8942
300734,16,5,1,2,6,76,8942
300734,17,5,1,2,6,76,8942
300734,18,3,1,2,6,76,8942
300734,20,5,1,2,6,76,8942
300976,2,3,1,2,5,77,5567
300976,3,1,1,2,5,77,5567
300976,6,4,1,2,5,77,5567
300976,8,3,1,2,5,77,5567
300976,10,1,1,2,5,77,5567
300976,12,1,1,2,5,77,5567
300976,13,2,1,2,5,77,5567
300976,16,2,1,2,5,77,5567
300976,17,4,1,2,5,77,5567
300976,18,1,1,2,5,77,5567
300976,19,1,1,2,5,77,5567
300976,20,2,1,2,5,77,5567
300987,1,2,1,2,7,78,1977
300987,2,6,1,2,7,78,1977
300987,3,5,1,2,7,78,1977
300987,4,3,1,2,7,78,1977
300987,5,5,1,2,7,78,1977
300987,7,5,1,2,7,78,1977
300987,8,3,1,2,7,78,1977
300987,9,3,1,2,7,78,1977
300987,10,4,1,2,7,78,1977
300987,12,2,1,2,7,78,1977
300987,13,1,1,2,7,78,1977
300987,14,1,1,2,7,78,1977
300987,15,5,1,2,7,78,1977
300987,16,3,1,2,7,78,1977
300987,17,4,1,2,7,78,1977
300987,18,9,1,2,7,78,1977
300987,19,5,1,2,7,78,1977
300987,20,6,1,2,7,78,1977
301079,1,7,1,2,5,79,4453
301079,2,3,1,2,5,79,4453
301079,3,1,1,2,5,79,4453
301079,4,3,1,2,5,79,4453
301079,5,4,1,2,5,79,4453
301079,7,6,1,2,5,79,4453
301079,9,10,2,2,5,79,4453
301079,10,1,1,2,5,79,4453
301079,11,2,1,2,5,79,4453
301079,12,1,1,2,5,79,4453
301079,13,3,1,2,5,79,4453
301079,14,5,1,2,5,79,4453
301079,15,3,1,2,5,79,4453
301079,17,4,1,2,5,79,4453
301079,18,4,1,2,5,79,4453
301079,19,1,1,2,5,79,4453
301079,20,1,1,2,5,79,4453
301141,1,3,1,3,10,80,4905
301141,2,3,1,3,10,80,4905
301141,3,4,1,3,10,80,4905
301141,6,4,1,3,10,80,4905
301141,7,4,1,3,10,80,4905
301141,8,2,1,3,10,80,4905
301141,9,4,1,3,10,80,4905
301141,10,3,1,3,10,80,4905
301141,11,2,1,3,10,80,4905
301141,12,2,1,3,10,80,4905
301141,13,3,1,3,10,80,4905
301141,14,2,1,3,10,80,4905
301141,15,1,1,3,10,80,4905
301141,16,4,1,3,10,80,4905
301141,17,7,1,3,10,80,4905
301141,18,5,1,3,10,80,4905
301141,19,1,1,3,10,80,4905
301141,20,4,1,3,10,80,4905
301164,1,1,1,3,9,81,5997
301164,3,3,1,3,9,81,5997
301164,4,3,1,3,9,81,5997
301164,5,3,1,3,9,81,5997
301164,6,2,1,3,9,81,5997
301164,7,5,1,3,9,81,5997
301164,8,2,1,3,9,81,5997
301164,9,2,2,3,9,81,5997
301164,11,2,1,3,9,81,5997
301164,12,2,1,3,9,81,5997
301164,13,5,1,3,9,81,5997
301164,14,2,2,3,9,81,5997
301164,15,4,1,3,9,81,5997
301164,16,4,1,3,9,81,5997
301164,17,1,1,3,9,81,5997
301164,18,1,1,3,9,81,5997
301164,20,2,1,3,9,81,5997
360043,3,4,1,4,12,82,3491
360043,4,1,1,4,12,82,3491
360043,9,3,1,4,12,82,3491
360043,14,1,1,4,12,82,3491
360043,15,2,1,4,12,82,3491
360043,16,2,1,4,12,82,3491
360043,17,2,1,4,12,82,3491
400026,1,3,1,1,2,83,5503
400026,3,5,1,1,2,83,5503
400026,4,1,1,1,2,83,5503
400026,5,4,1,1,2,83,5503
400168,1,3,1,1,3,84,5614
400168,2,2,1,1,3,84,5614
400168,3,3,1,1,3,84,5614
400168,4,2,1,1,3,84,5614
400168,5,5,1,1,3,84,5614
400172,1,3,1,1,2,85,5245
400172,2,4,1,1,2,85,5245
400172,3,5,1,1,2,85,5245
400172,5,3,1,1,2,85,5245
400209,3,4,1,1,2,86,5451
400209,4,3,1,1,2,86,5451
400209,5,6,1,1,2,86,5451
400212,3,5,1,1,2,87,5853
400212,4,3,1,1,2,87,5853
400212,5,2,1,1,2,87,5853
400218,1,3,1,1,3,88,5743
400218,3,4,1,1,3,88,5743
400218,4,3,1,1,3,88,5743
400218,5,3,1,1,3,88,5743
400239,1,1,1,1,3,89,5628
400239,2,6,1,1,3,89,5628
400239,3,2,1,1,3,89,5628
400239,4,3,1,1,3,89,5628
400239,5,2,1,1,3,89,5628
400288,2,2,1,1,3,90,5304
400288,3,3,1,1,3,90,5304
400288,4,4,1,1,3,90,5304
400288,5,2,1,1,3,90,5304
400327,1,2,1,1,2,91,6566
400327,2,4,1,1,2,91,6566
400327,3,3,1,1,2,91,6566
400327,4,7,1,1,2,91,6566
400418,1,2,1,1,2,92,5858
400418,2,1,1,1,2,92,5858
400418,3,5,1,1,2,92,5858
400418,4,5,1,1,2,92,5858
400418,5,9,1,1,2,92,5858
400433,1,4,1,1,3,93,5557
400433,2,3,1,1,3,93,5557
400433,3,2,1,1,3,93,5557
400433,5,5,1,1,3,93,5557
400498,1,5,1,1,4,94,5766
400498,3,4,1,1,4,94,5766
400498,4,4,1,1,4,94,5766
400498,5,2,1,1,4,94,5766
400513,1,2,1,1,4,95,6041
400513,4,3,1,1,4,95,6041
400513,5,4,1,1,4,95,6041
400550,1,7,1,1,2,96,7345
400550,2,3,1,1,2,96,7345
400550,3,4,1,1,2,96,7345
400550,4,6,2,1,2,96,7345
400550,5,3,1,1,2,96,7345
400552,1,1,1,1,2,97,7251
400552,2,5,1,1,2,97,7251
400552,4,4,1,1,2,97,7251
400552,5,4,1,1,2,97,7251
400562,1,1,1,1,2,98,5101
400562,2,3,1,1,2,98,5101
400562,4,5,1,1,2,98,5101
400562,5,2,1,1,2,98,5101
400587,1,2,1,1,2,99,5486
400587,2,3,1,1,2,99,5486
400587,3,3,1,1,2,99,5486
400587,4,1,1,1,2,99,5486
400587,5,3,1,1,2,99,5486
400627,2,3,1,1,2,100,11581
400627,3,3,1,1,2,100,11581
400627,4,3,1,1,2,100,11581
400627,5,2,1,1,2,100,11581
400638,1,4,1,1,2,101,11559
400638,2,2,1,1,2,101,11559
400638,3,5,1,1,2,101,11559
400638,4,4,1,1,2,101,11559
400638,5,4,1,1,2,101,11559
400647,1,5,1,1,4,102,4856
400647,2,5,1,1,4,102,4856
400647,3,4,1,1,4,102,4856
400647,5,2,1,1,4,102,4856
400651,1,9,1,1,2,103,5021
400651,3,2,1,1,2,103,5021
400767,1,5,1,1,1,104,7983
400767,2,4,1,1,1,104,7983
400767,3,15,1,1,1,104,7983
400767,4,1,1,1,1,104,7983
400779,1,6,1,1,2,105,5989
400779,2,4,1,1,2,105,5989
400779,3,2,1,1,2,105,5989
401031,1,2,1,1,2,106,10305
401031,2,2,1,1,2,106,10305
401031,3,5,1,1,2,106,10305
401031,4,3,1,1,2,106,10305
401031,5,2,1,1,2,106,10305
401127,1,3,1,2,5,107,3753
401127,4,4,1,2,5,107,3753
401127,5,4,1,2,5,107,3753
401127,6,4,1,2,5,107,3753
401127,7,1,1,2,5,107,3753
401127,8,5,1,2,5,107,3753
401127,9,5,1,2,5,107,3753
401127,10,5,1,2,5,107,3753
401127,11,3,1,2,5,107,3753
401127,12,3,1,2,5,107,3753
401127,13,5,1,2,5,107,3753
401127,14,2,1,2,5,107,3753
401127,15,2,1,2,5,107,3753
401127,16,4,1,2,5,107,3753
401127,18,3,1,2,5,107,3753
401127,19,2,1,2,5,107,3753
401127,20,5,1,2,5,107,3753
401385,1,3,1,3,9,108,4519
401385,2,5,1,3,9,108,4519
401385,3,5,1,3,9,108,4519
401385,4,3,1,3,9,108,4519
401385,5,4,1,3,9,108,4519
401385,6,4,1,3,9,108,4519
401385,7,4,1,3,9,108,4519
401385,8,5,1,3,9,108,4519
401385,9,4,1,3,9,108,4519
401385,10,8,1,3,9,108,4519
401385,11,5,1,3,9,108,4519
401385,12,5,1,3,9,108,4519
401385,13,5,1,3,9,108,4519
401385,14,4,1,3,9,108,4519
401385,15,1,1,3,9,108,4519
401385,16,5,1,3,9,108,4519
401385,18,4,1,3,9,108,4519
401385,20,3,1,3,9,108,4519
401487,1,4,1,3,8,109,4719
401487,2,3,1,3,8,109,4719
401487,3,4,1,3,8,109,4719
401487,4,4,1,3,8,109,4719
401487,5,4,1,3,8,109,4719
401487,6,3,1,3,8,109,4719
401487,8,8,1,3,8,109,4719
401487,9,9,1,3,8,109,4719
401487,11,4,1,3,8,109,4719
401487,12,5,1,3,8,109,4719
401487,15,5,1,3,8,109,4719
401487,16,3,1,3,8,109,4719
401487,17,6,1,3,8,109,4719
401487,18,1,1,3,8,109,4719
401487,19,8,2,3,8,109,4719
401487,20,3,1,3,8,109,4719
460158,1,2,1,4,11,110,4815
460158,2,6,1,4,11,110,4815
460158,3,8,1,4,11,110,4815
460158,5,3,1,4,11,110,4815
460158,6,4,1,4,11,110,4815
460158,7,4,1,4,11,110,4815
460158,8,6,1,4,11,110,4815
460158,9,6,1,4,11,110,4815
460158,10,3,1,4,11,110,4815
460158,12,3,1,4,11,110,4815
460158,13,1,1,4,11,110,4815
460158,14,8,1,4,11,110,4815
460158,15,3,1,4,11,110,4815
460158,16,5,1,4,11,110,4815
460158,17,6,1,4,11,110,4815
460158,18,6,1,4,11,110,4815
460158,20,10,1,4,11,110,4815
500556,1,4,1,1,3,111,6478
500556,3,3,1,1,3,111,6478
500556,4,2,1,1,3,111,6478
500556,5,1,1,1,3,111,6478
500569,2,2,1,1,3,112,6197
500569,3,1,1,1,3,112,6197
500569,4,5,1,1,3,112,6197
500569,5,5,1,1,3,112,6197
501395,1,8,1,1,2,113,5974
501395,3,8,2,1,2,113,5974
501395,4,4,1,1,2,113,5974
501435,1,1,1,1,4,114,7019
501435,2,5,1,1,4,114,7019
501435,3,6,1,1,4,114,7019
501435,4,3,1,1,4,114,7019
501435,5,2,1,1,4,114,7019
501743,1,5,1,1,4,115,6498
501743,2,4,1,1,4,115,6498
501743,3,5,1,1,4,115,6498
501743,5,4,1,1,4,115,6498
501755,1,5,1,1,3,116,6068
501755,2,2,1,1,3,116,6068
501755,3,4,1,1,3,116,6068
501755,4,4,1,1,3,116,6068
501755,5,2,1,1,3,116,6068
501788,1,2,1,1,2,117,5843
501788,2,7,2,1,2,117,5843
501788,3,4,1,1,2,117,5843
501788,4,5,2,1,2,117,5843
501788,5,2,1,1,2,117,5843
501849,1,1,1,1,3,118,5900
501849,2,7,1,1,3,118,5900
501849,3,5,1,1,3,118,5900
501849,4,5,1,1,3,118,5900
501849,5,3,1,1,3,118,5900
501883,2,5,1,1,2,119,6500
501883,3,3,1,1,2,119,6500
501883,4,5,1,1,2,119,6500
501883,5,6,1,1,2,119,6500
501933,1,4,1,1,3,120,5449
501933,2,2,1,1,3,120,5449
501933,3,2,1,1,3,120,5449
501933,4,5,1,1,3,120,5449
501933,5,6,2,1,3,120,5449
501952,1,1,1,1,2,121,7024
501952,2,6,2,1,2,121,7024
501952,3,3,1,1,2,121,7024
501952,4,4,1,1,2,121,7024
501952,5,6,1,1,2,121,7024
501971,1,8,1,1,3,122,6627
501971,2,2,1,1,3,122,6627
501971,3,3,1,1,3,122,6627
501971,4,2,1,1,3,122,6627
501971,5,5,1,1,3,122,6627
502091,2,1,1,1,4,123,7593
502091,3,4,1,1,4,123,7593
502091,4,4,2,1,4,123,7593
502342,1,6,1,1,3,124,5989
502342,2,2,1,1,3,124,5989
502342,3,5,1,1,3,124,5989
502342,4,8,1,1,3,124,5989
502342,5,4,1,1,3,124,5989
502813,1,5,1,1,3,125,5233
502813,2,3,1,1,3,125,5233
502813,3,5,1,1,3,125,5233
502813,4,1,1,1,3,125,5233
502813,5,3,1,1,3,125,5233
502989,1,4,1,1,4,126,6644
502989,4,5,1,1,4,126,6644
502989,5,3,1,1,4,126,6644
503020,1,5,1,1,2,127,6454
503020,2,4,1,1,2,127,6454
503020,3,4,1,1,2,127,6454
503020,4,8,2,1,2,127,6454
503020,5,8,2,1,2,127,6454
503021,1,6,1,1,2,128,7345
503021,2,8,1,1,2,128,7345
503021,3,3,1,1,2,128,7345
503021,4,3,1,1,2,128,7345
503021,5,6,1,1,2,128,7345
503119,1,5,1,1,2,129,5738
503119,2,4,1,1,2,129,5738
503119,4,2,1,1,2,129,5738
503119,5,4,1,1,2,129,5738
503143,1,4,1,1,4,130,6930
503143,2,2,1,1,4,130,6930
503143,3,4,1,1,4,130,6930
503143,4,4,1,1,4,130,6930
