"P2_8","P2_3","FAC_HOG","FOLIO","VIV_SEL","HOGAR","N_REN","P3_1_1","P3_1_2","P3_2","P3_3","P3_4","P3_5","P3_11","P4_1","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_3","P4_5","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_8_5","P4_8_6","P4_9_1","P4_9_2","P4_9_3","P4_9_4","P4_10","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_4_1","P5_4_2","P5_4_3","P5_4_4","P5_4_5","P5_4_6","P5_4_7","P5_4_8","P5_4_9","P5_23","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_2_1","P6_2_2","P6_2_3","P6_2_4","P6_2_5","P6_2_6","P6_2_7","P6_2_8","P6_2_9","P6_17","P7_1_1","P7_1_2","P7_2","P7_4","P7_5","P7_7_1","P7_8_1_1","P7_8_1_2","P7_8_1_3","P7_7_2","P7_8_2_1","P7_8_2_2","P7_8_2_3","P7_7_3","P7_7_4","P8_1","P8_2","P8_3","P9_1","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P10_1","P10_4","P10_7","P11_1_1","P11_1_2","P11_1_3","P11_1_4","P11_1_5","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_3_1","P11_3_2","P11_3_3","P11_3_4","P11_3_9","P12_1","P13_1","P13_2","P13_3","P13_4","P14_1","P14_2_1","P14_2_2","P14_2_3","P14_2_4","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","FAC_ELE"
2,3,1260,1777,5,1,4,6,2,6,2,2,1,1,2,1,1,2,1,1,2,2,1,1,3,2,3,1,1,1,1,1,2,1,3,1,1,1,1,1,1,5,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,7,1,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,3,3,2,1,2,2,1,2,1,31,31,305,5078
2,6,1333,1778,1,1,3,3,2,6,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,3,1,1,1,1,3,1,3,3,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,3,1,3,3,2,2,2,2,1,2,2,21,31,306,3968
0,1,1333,1779,2,1,1,2,6,4,2,1,5,1,2,2,2,2,2,2,1,2,1,1,2,1,3,1,1,2,1,1,3,1,1,1,1,2,2,2,2,5,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,3,1,1,2,2,2,1,2,2,69,31,306,1323
1,1,1333,1780,3,1,1,2,6,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,3,1,1,1,1,1,2,1,3,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,3,1,2,2,2,2,1,2,1,63,31,306,1343
2,2,1333,1781,4,1,2,6,3,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,7,7,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,3,2,2,1,2,2,1,2,2,31,31,306,2645
2,2,1333,1782,5,1,2,8,4,1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,5,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,2,2,2,2,1,2,2,28,31,306,2645
2,1,1204,1783,1,1,1,6,3,5,2,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,3,2,1,1,1,1,1,2,3,1,1,1,2,1,1,4,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,3,2,2,2,2,2,1,2,1,42,31,307,2426
0,1,1204,1784,2,1,1,7,1,6,2,2,6,1,2,2,1,2,2,2,1,2,1,1,1,3,3,3,1,2,2,1,1,3,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,62,31,307,1194
2,1,1204,1785,3,1,1,3,3,6,2,2,7,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,3,3,3,3,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,9,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,2,48,31,307,2389
1,1,1204,1786,4,1,1,6,3,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,3,1,2,1,2,3,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,7,7,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,3,1,2,1,2,2,1,2,2,47,31,307,1194
1,2,1121,1787,1,1,2,2,6,5,2,1,6,1,2,2,1,2,2,2,1,2,1,1,2,2,3,1,1,1,1,2,2,3,1,1,1,2,2,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,3,3,2,1,2,2,2,1,2,2,75,31,308,2225
2,5,1121,1788,2,1,2,2,6,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,3,1,2,1,3,1,1,1,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,3,1,1,2,2,2,1,2,1,30,31,308,2260
0,1,1121,1789,4,1,1,6,2,5,2,2,6,2,2,2,2,1,2,2,1,2,2,1,3,1,1,3,1,2,2,1,3,1,2,1,3,2,2,2,2,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,3,3,3,1,1,1,2,2,1,2,1,79,31,308,1130
1,1,1121,1790,5,1,1,3,2,5,2,1,7,1,2,2,2,1,2,2,2,2,1,1,2,2,1,3,1,2,2,1,3,1,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,3,1,1,2,2,2,1,2,1,76,31,308,3390
1,1,1381,1791,1,1,1,3,3,4,2,1,5,1,2,2,2,2,2,2,1,2,1,1,2,3,3,2,1,1,1,3,1,3,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,3,1,1,1,2,2,1,2,2,70,32,309,4110
3,3,1381,1792,2,1,3,8,5,6,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,3,2,1,1,1,3,2,3,2,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,3,3,2,2,2,2,1,2,2,22,32,309,5480
3,2,1381,1793,3,1,2,4,3,5,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,2,2,2,1,1,1,2,3,1,2,1,3,1,1,2,2,5,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,3,2,2,1,2,1,1,2,2,52,32,309,4110
1,1,1381,1794,5,1,1,8,3,5,2,1,8,1,2,2,2,2,2,2,1,2,1,1,2,2,3,1,1,1,2,1,2,2,1,1,1,2,2,2,2,5,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,3,2,1,1,2,2,1,2,2,77,32,309,2740
1,1,1383,1795,2,1,1,3,3,5,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,3,1,3,1,1,1,1,1,3,3,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,47,31,310,2787
1,1,1383,1796,3,1,1,2,1,5,2,1,6,1,2,2,1,1,2,2,1,2,3,1,3,2,1,3,1,2,1,1,1,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,3,3,1,2,1,2,2,1,2,1,79,31,310,4181
1,1,1383,1797,4,1,1,8,5,6,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,3,3,2,1,2,2,1,2,2,1,1,1,2,1,2,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,3,4,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,3,1,2,2,2,2,1,2,2,25,31,310,1372
1,1,1383,1798,5,1,1,6,3,6,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,3,1,2,2,3,3,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,7,7,2,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,3,3,1,1,2,2,2,1,2,2,36,31,310,1372
3,5,1406,1799,1,1,3,6,3,5,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,2,1,3,3,1,2,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,3,2,3,2,2,2,2,2,1,2,2,29,31,311,4185
3,1,1406,1800,2,1,1,3,3,5,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,3,2,1,3,3,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,3,2,1,1,2,2,1,2,1,61,31,311,4251
2,1,1406,1801,3,1,1,3,3,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,3,1,3,1,1,2,3,1,3,3,2,3,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,3,1,3,2,2,2,2,2,1,2,1,31,31,311,2834
3,5,1406,1802,4,1,3,6,3,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3,1,1,1,3,3,1,3,3,3,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,1,2,2,2,1,2,2,34,31,311,5580
2,1,1406,1803,5,1,1,3,3,5,2,2,3,1,2,2,1,1,2,2,2,2,1,1,3,1,2,2,2,1,1,1,2,1,1,2,3,1,1,1,1,3,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,7,7,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,1,2,1,37,31,311,2834
1,1,1544,1804,1,1,1,3,3,5,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,2,1,1,2,2,1,2,1,40,30,312,4668
2,2,1544,1805,2,1,2,3,3,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,1,2,3,1,3,3,3,3,1,1,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,2,1,2,2,1,2,2,25,30,312,3064
2,1,1544,1806,4,1,1,6,3,5,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,3,2,1,1,1,1,2,1,1,1,2,1,2,2,1,5,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,3,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,2,2,1,2,2,1,2,1,26,30,312,3112
4,5,1544,1807,5,1,3,3,3,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,3,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1,2,1,20,30,312,4668
2,3,1461,1808,1,1,3,6,3,6,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,3,1,1,2,1,2,1,2,2,5,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,3,2,3,2,2,2,2,2,1,2,1,23,30,313,4419
3,1,1461,1809,2,1,1,0,0,6,2,2,1,2,2,2,1,1,2,2,2,2,2,2,3,1,1,3,1,2,1,3,1,1,3,3,3,2,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,3,2,2,2,2,2,1,2,2,55,30,313,5801
2,2,1461,1810,4,1,2,3,3,1,2,2,5,2,2,2,1,1,2,2,2,2,1,1,2,2,1,3,1,1,1,3,3,1,3,3,3,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,3,3,3,2,1,2,2,2,1,2,2,43,30,313,4351
2,1,1461,1811,5,1,1,6,1,3,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,3,1,1,1,1,1,2,3,3,1,1,1,2,2,5,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,3,3,2,2,2,2,1,2,1,42,30,313,4419
1,1,1400,1812,1,1,1,4,3,5,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,5,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,4,4,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,3,2,1,1,2,2,1,2,1,56,32,314,2822
2,1,1400,1813,3,1,1,7,3,3,2,2,1,1,2,2,2,2,2,2,1,2,1,1,3,1,3,2,1,1,1,3,3,2,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,3,2,2,2,2,2,1,2,2,53,32,314,2778
1,1,1400,1814,4,1,1,8,2,5,2,2,4,1,2,2,1,1,2,2,2,2,1,1,2,2,2,3,1,1,1,3,3,3,3,3,3,1,2,2,2,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,3,2,2,2,2,2,1,2,2,32,32,314,2778
3,2,1416,1815,1,1,2,8,2,5,2,1,1,2,1,1,2,1,2,2,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,3,2,2,2,2,2,1,2,1,54,31,315,4283
1,1,1416,1816,2,1,1,8,5,6,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,3,3,3,1,1,2,1,1,3,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,3,1,2,1,2,2,1,2,2,40,31,315,1406
1,3,1416,1817,3,1,2,6,3,6,2,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,3,3,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,19,31,315,2811
1,1,1416,1818,4,1,1,4,3,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,3,3,1,3,3,3,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,7,7,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,3,1,1,1,2,2,1,2,1,45,31,315,1428
1,2,1416,1819,5,1,2,3,3,5,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,3,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,1,2,2,1,2,2,55,31,315,2811
1,2,1320,1820,1,1,2,3,3,5,2,2,5,1,1,1,2,1,2,2,2,2,1,1,3,2,2,2,1,1,1,2,3,1,3,3,3,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,2,2,2,2,1,2,2,48,31,316,3929
1,1,1320,1821,3,1,1,3,3,6,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,7,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,3,3,3,1,1,1,2,2,1,2,2,48,31,316,1310
0,1,1320,1822,4,1,1,3,3,4,2,1,8,1,2,2,1,2,2,2,1,2,1,1,3,1,3,1,1,8,1,1,3,1,1,1,1,1,2,2,2,4,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,9,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,3,1,2,2,2,2,1,2,2,75,31,316,1310
1,1,1320,1823,5,1,1,8,5,3,2,2,1,1,1,1,1,1,2,2,2,2,1,2,3,2,3,2,1,1,1,2,2,1,2,2,2,2,1,2,2,3,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,7,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,3,1,2,1,2,2,1,2,2,38,31,316,2620
1,2,2204,1824,2,1,3,6,1,1,2,2,5,2,2,2,1,1,2,2,1,2,1,2,3,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,3,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,18,30,317,4373
3,3,2204,1825,3,1,2,3,3,1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,3,2,1,1,1,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,3,3,2,2,2,2,2,1,2,2,40,30,317,6560
